SDK,DAT,PRA,DES,CON,PUR,text
,"Category,. Location.. Data Type,. Precise or Coarse location.","Razorpay SDK Guideline,. No",,Razorpay SDK does not collect approximate or precise location data.,,"Category, Location. Data Type, Precise or Coarse location. Razorpay SDK Guideline, No  , Razorpay SDK does not collect approximate or precise location data."
,"Category,. Personal info.. Data Type,. Name.","Razorpay SDK Guideline,. Yes",,if you have configured to transmit this data to Razorpay.,,"Category, Personal info. Data Type, Name. Razorpay SDK Guideline, Yes  , if you have configured to transmit this data to Razorpay."
,"Category,. Personal info.. Data Type,. Email Address.","Razorpay SDK Guideline,. Yes",,if you have configured to transmit this data to Razorpay.,,"Category, Personal info. Data Type, Email Address. Razorpay SDK Guideline, Yes  , if you have configured to transmit this data to Razorpay."
,"Category,. Personal info.. Data Type,. User IDs.","Razorpay SDK Guideline,. Yes",,if you have configured to transmit this data to Razorpay.,,"Category, Personal info. Data Type, User IDs. Razorpay SDK Guideline, Yes  , if you have configured to transmit this data to Razorpay."
,"Category,. Personal info.. Data Type,. Address.","Razorpay SDK Guideline,. Yes",,if you have configured to transmit this data to Razorpay.,,"Category, Personal info. Data Type, Address. Razorpay SDK Guideline, Yes  , if you have configured to transmit this data to Razorpay."
,"Category,. Personal info.. Data Type,. Phone number.","Razorpay SDK Guideline,. Yes",,if you have configured to transmit this data to Razorpay.,,"Category, Personal info. Data Type, Phone number. Razorpay SDK Guideline, Yes  , if you have configured to transmit this data to Razorpay."
,"Category,. Personal info.. Data Type,. Race and ethnicity.","Razorpay SDK Guideline,. No",,Razorpay does not collect this data.,,"Category, Personal info. Data Type, Race and ethnicity. Razorpay SDK Guideline, No  , Razorpay does not collect this data."
,"Category,. Personal info.. Data Type,. Political or religious beliefs.","Razorpay SDK Guideline,. No",,Razorpay does not collect this data.,,"Category, Personal info. Data Type, Political or religious beliefs. Razorpay SDK Guideline, No  , Razorpay does not collect this data."
,"Category,. Personal info.. Data Type,. Sexual orientation.","Razorpay SDK Guideline,. No",,Razorpay does not collect this data.,,"Category, Personal info. Data Type, Sexual orientation. Razorpay SDK Guideline, No  , Razorpay does not collect this data."
,"Category,. Personal info.. Data Type,. Other info.","Razorpay SDK Guideline,. No",,Razorpay does not collect this data.,,"Category, Personal info. Data Type, Other info. Razorpay SDK Guideline, No  , Razorpay does not collect this data."
,"Category,. Financial info.. Data Type,. User payment info.","Razorpay SDK Guideline,. Yes",,"Razorpay collects information about the user ' s financial accounts, such as credit card number.",,"Category, Financial info. Data Type, User payment info. Razorpay SDK Guideline, Yes  , Razorpay collects information about the user's financial accounts, such as credit card number."
